Rank,Club,Matches,W,D,L,Goals,+/-,Pts
1,Arsenal FC,36,26,7,3,89:25,64,85
2,Liverpool FC,37,26,7,4,92:42,50,85
3,Manchester City,38,25,7,6,83:39,44,82
4,Chelsea FC,37,20,10,7,81:55,26,70
5,Newcastle United,38,18,9,11,80:58,22,63
6,Aston Villa,37,15,10,12,61:65,-4,55
7,AFC Bournemouth,38,14,11,13,55:55,0,53
8,Fulham FC,37,13,13,11,55:51,4,52
9,Tottenham Hotspur,37,15,6,16,73:60,13,51
10,Manchester United,37,14,9,14,56:57,-1,51
11,Nottingham Forest,37,15,8,14,51:51,0,49
12,Crystal Palace,37,12,12,13,55:56,-1,48
13,Brighton & Hove Albion,38,10,15,13,46:57,-11,45
14,Brentford FC,37,12,8,17,62:66,-4,44
15,West Ham United,38,10,12,16,50:79,-29,42
16,Wolverhampton Wanderers,37,9,7,21,51:76,-25,34
17,Everton FC,36,8,15,13,31:47,-16,31
18,Ipswich Town,19,3,6,10,18:33,-15,15
19,Leicester City,19,3,5,11,22:42,-20,14
20,Burnley FC,18,2,7,9,21:37,-16,13
21,Luton Town,19,2,5,12,29:48,-19,11
22,Sheffield United,18,1,4,13,20:55,-35,7
23,Southampton FC,19,1,3,15,12:39,-27,6
