Rank,Club,Matches,W,D,L,Goals,+/-,Pts
1,Manchester City,34,24,7,3,92:30,62,79
2,Liverpool FC,35,24,7,4,77:29,48,79
3,Arsenal FC,35,25,2,8,69:39,30,77
4,Newcastle United,36,21,9,6,57:31,26,72
5,Tottenham Hotspur,37,22,5,10,80:43,37,71
6,Manchester United,36,17,8,11,51:51,0,59
7,Chelsea FC,33,16,8,9,52:36,16,56
8,Brighton & Hove Albion,36,14,9,13,53:50,3,51
9,Brentford FC,37,13,10,14,54:58,-4,49
10,Crystal Palace,35,12,11,12,40:40,0,47
11,Leicester City,37,12,8,17,57:56,1,44
12,Aston Villa,36,11,8,17,45:51,-6,41
13,West Ham United,36,11,6,19,39:48,-9,39
14,Wolverhampton Wanderers,37,11,6,20,35:55,-20,39
15,Leeds United,36,10,8,18,47:72,-25,38
16,Everton FC,38,9,8,21,35:57,-22,35
17,Southampton FC,36,8,7,21,38:70,-32,31
18,Fulham FC,17,7,4,6,29:27,2,25
19,Burnley FC,22,6,6,10,19:29,-10,24
20,AFC Bournemouth,17,4,4,9,18:36,-18,16
21,Nottingham Forest,16,3,4,9,11:33,-22,13
22,Norwich City,19,3,3,13,15:42,-27,12
23,Watford FC,21,2,4,15,12:42,-30,10
