Rank,Club,Matches,W,D,L,Goals,+/-,Pts
1,Manchester City,44,36,2,6,113:32,81,110
2,Chelsea FC,42,24,11,7,70:32,38,83
3,Liverpool FC,41,23,8,10,81:38,43,77
4,Arsenal FC,41,23,7,11,71:43,28,76
5,Manchester United,41,21,12,8,72:47,25,75
6,West Ham United,41,22,7,12,73:51,22,73
7,Tottenham Hotspur,40,20,6,14,64:50,14,66
8,Leicester City,40,18,8,14,70:63,7,62
9,Brighton & Hove Albion,40,12,16,12,39:39,0,52
10,Leeds United,40,14,10,16,50:60,-10,52
11,Aston Villa,42,15,6,21,51:60,-9,51
12,Wolverhampton Wanderers,40,13,10,17,34:45,-11,49
13,Everton FC,40,13,10,17,42:58,-16,49
14,Crystal Palace,41,12,12,17,48:64,-16,48
15,Southampton FC,41,9,11,21,42:78,-36,38
16,Newcastle United,42,8,13,21,48:80,-32,37
17,Burnley FC,39,7,13,19,39:59,-20,34
18,Sheffield United,22,7,0,15,12:36,-24,21
19,Brentford FC,18,5,5,8,21:25,-4,20
20,West Bromwich Albion,22,4,6,12,24:41,-17,18
21,Fulham FC,23,3,8,12,14:30,-16,17
22,Watford FC,17,4,1,12,22:35,-13,13
23,Norwich City,19,2,4,13,8:42,-34,10
